wn,1,2,3,4,5,6
3999.46,41.3733,10.3433,56.8882,25.8583,46.5449,98.2615
3998.98,10.3433,-20.6866,0,36.2016,62.0599,10.3433
3998.5,51.7092,-15.5127,93.0765,77.5637,77.5637,-5.17092
3998.01,77.5526,-5.17017,46.5316,67.2123,82.7228,180.956
3997.53,56.8638,0,15.5083,87.8804,62.0332,0
3997.05,82.6991,-10.3374,-20.6748,-25.8435,62.0243,5.16869
3996.56,36.1757,25.8398,-25.8398,113.695,113.695,103.359
3996.08,62.0065,5.16721,-15.5016,20.6688,-51.6721,51.6721
3995.59,-41.3318,20.6659,41.3318,-25.8324,56.8312,5.16647
3995.11,41.3259,5.16573,51.6573,51.6573,25.8287,67.1545
3994.63,46.4849,5.16499,15.495,113.63,36.1549,25.825
3994.14,25.8213,-10.3285,87.7923,25.8213,103.285,20.657
3993.66,-15.4905,-25.8176,15.4905,77.4527,30.9811,46.4716
3993.17,15.4883,-5.16277,92.9299,41.3022,-67.116,-5.16277
3992.69,77.4305,0,-10.3241,36.1342,46.4583,51.6203
3992.21,77.4194,5.16129,30.9677,-25.8065,46.4516,20.6452
3991.72,10.3211,20.6422,20.6422,129.014,10.3211,30.9633
3991.24,72.2374,5.15981,61.9177,30.9589,61.9177,30.9589
3990.75,30.9544,-10.3181,-10.3181,51.5907,36.1135,77.3861
3990.27,5.15833,36.1083,20.6333,10.3167,46.425,46.425
3989.78,92.8367,-5.15759,82.5215,36.1032,82.5215,51.5759
3989.3,0,-15.4706,82.5097,15.4706,51.5685,72.196
3988.81,97.9662,-15.4683,123.747,113.435,20.6245,92.8101
3988.33,72.1753,-25.7769,56.7091,87.6414,25.7769,10.3108
3987.84,87.6288,10.3093,0,-5.15464,72.1649,-67.0103
3987.36,103.078,-10.3078,10.3078,0,36.0773,46.3851
3986.87,0,-10.3063,103.063,139.135,77.2974,118.523
3986.39,10.3048,5.15242,72.1339,139.115,-15.4573,41.2194
3985.9,46.3651,-25.7584,61.8202,92.7303,-61.8202,20.6067
3985.42,41.2075,-15.4528,108.17,51.5094,77.2641,30.9057
3984.93,133.905,20.6008,5.1502,123.605,92.7037,51.502
3984.45,30.8968,5.14947,-15.4484,-20.5979,10.2989,87.5409
3983.96,36.0411,10.2975,-51.4873,-5.14873,72.0822,36.0411
3983.48,51.4799,5.14799,41.1839,25.7399,-25.7399,15.444
3982.99,30.8835,-5.14725,-15.4418,-66.9143,108.092,41.178
3982.5,51.4651,-25.7326,113.223,61.7581,102.93,0
3982.02,51.4577,5.14577,-82.3324,56.6035,-5.14577,92.6239
3981.53,56.5954,20.5801,77.1755,82.3206,56.5954,51.4504
3981.05,51.443,-10.2886,15.4329,5.1443,97.7417,20.5772
3980.56,87.4405,25.7178,56.5792,102.871,-10.2871,36.0049
3980.07,41.1426,-20.5713,87.428,87.428,15.4285,51.4282
3979.59,15.4263,15.4263,77.1313,-25.7104,77.1313,71.9892
3979.1,51.4135,0,92.5442,61.6962,41.1308,35.9894
3978.62,41.1249,5.14061,35.9843,10.2812,51.4061,10.2812
3978.13,10.2797,-10.2797,87.3778,35.9791,25.6994,77.0981
3977.64,-20.5565,30.8348,92.5044,30.8348,35.9739,71.9479
3977.16,5.1384,35.9688,46.2456,15.4152,102.768,41.1072
3976.67,35.9636,0,41.1013,123.304,77.0649,20.5506
3976.18,-5.13692,-5.13692,-5.13692,-10.2738,56.5061,123.286
3975.7,87.3151,10.2724,107.86,15.4086,46.2257,92.4513
3975.21,25.6772,-25.6772,71.8963,107.844,41.0836,-41.0836
3974.72,71.886,5.13471,77.0207,51.3471,-30.8083,15.4041
3974.23,66.7417,10.2679,51.3397,97.5455,71.8756,56.4737
3973.75,-10.2665,5.13324,35.9327,56.4656,71.8653,0
3973.26,164.24,-15.3975,41.06,87.2525,61.59,-66.7225
3972.77,-25.6588,10.2635,-20.5271,25.6588,15.3953,76.9765
3972.29,82.0964,15.3931,56.4413,30.7862,0,46.1793
3971.8,76.9544,5.13029,20.5212,92.3452,46.1726,-51.3029
3971.31,71.8138,5.12956,66.6842,46.166,20.5182,5.12956
3970.82,102.576,-5.12882,5.12882,-20.5153,87.1899,35.9017
3970.34,0,0,66.6651,41.0247,82.0493,66.6651
3969.85,-25.6367,20.5094,41.0188,-25.6367,66.6555,35.8914
3969.36,-20.5064,0,30.7597,-25.6331,35.8863,46.1395
3968.87,46.1329,-5.12587,123.021,92.2657,-20.5035,82.014
3968.39,66.6268,-5.12514,30.7508,153.754,92.2525,35.876
3967.9,10.2488,40.9952,-30.7464,122.986,40.9952,81.9904
3967.41,46.113,-10.2473,40.9893,-15.371,76.855,51.2367
3966.92,66.5981,10.2459,117.827,97.3357,-5.12293,-30.7376
3966.43,56.3442,10.2444,20.4888,35.8554,122.933,40.9776
3965.95,92.1863,5.12146,122.915,56.3361,117.794,10.2429
3965.46,71.6901,10.2414,20.4829,92.173,-10.2414,92.173
3964.97,71.6799,-20.48,35.8399,46.0799,-40.9599,71.6799
3964.48,76.7888,5.11925,56.3118,66.5503,51.1925,56.3118
3963.99,30.7111,5.11852,107.489,35.8296,5.11852,56.3037
3963.5,71.649,10.2356,35.8245,46.0601,76.7668,97.2379
3963.02,46.0534,-5.11705,20.4682,71.6387,92.1069,35.8193
3962.53,25.5816,5.11631,97.21,40.9305,51.1631,5.11631
3962.04,-25.5779,0,81.8493,25.5779,81.8493,112.543
3961.55,10.2297,10.2297,-40.9188,56.2633,127.871,46.0336
3961.06,51.1411,0,61.3693,97.1681,-15.3423,-10.2282
3960.57,40.907,20.4535,56.2471,56.2471,-15.3401,35.7936
